Title, Description, Date: 2022-04-08, Date: 2022-04-12, Source
Touch Dynamic Parts Tablet Computer,  TOUCH DYNAMIC- QUEST V3 10" BLK- 8GB RAM WIN 10 PRO(64 BIT)- NO CAMERA/NFC- BLUETOOTH- WIRELESS- MSR/EMV- 2D SCANNER- MONETARY#IDT-KEYINJ-287- HID MODE- BATTERY- POWER ADAPTER- CHARGING CRADLE/HAND STRAP- USB CABLE ,  $2703.00,  $2163.00,  https://www.barcodegiant.com/touch-dynamic/part-q4860-1m00000c.htm
Touch Dynamic Parts Tablet Computer,  TOUCH DYNAMIC- QUEST V3 10" BLK- 8GB RAM WIN 10 PRO(64 BIT)- NO CAMERA/NFC- BLUETOOTH- WIRELESS- MSR/EMV- 2D SCANNER- MONETARY#IDT-KEYINJ-287- HID MODE- BATTERY- POWER ADAPTER- CHARGING CRADLE/HAND STRAP- USB CABLE ,  $2163.00,  $2703.00,  https://www.barcodegiant.com/touch-dynamic/part-q4831-1tamh000.htm
Comark 8 Rugged Tablet Computer,  8 Rugged Mobile Tablet- 8 Rugged Mobile Tablet Gen2- Intel Quad Core 1.8GHz CPU- 8.0" 1024 x 768- Wide View Angle 350NIT LCD- Indoor/Outdoor Touch Screen- 1-USB- 1-Micro HDMI- 64GB SSD- Bluetooth Class 2 V4.0- 5MP CMOS Camera with Flash (Back)- 1.3MP Camera (Front)- 4GB RAM- 802.11a/b/g/n (AC)- External Battery Pack- Screen Protector- Hand Strap- Stylus (Does not include AC Wall Adapter). (Many more configurations available- please call us for all options). ,  $1328.95,  $1771.05,  https://www.barcodegiant.com/comark/part-comark8e2.htm
Comark 8 Rugged Tablet Computer,  8 Rugged Mobile Tablet- 8 Rugged Mobile Tablet Gen2- Intel Quad Core 1.8GHz CPU- 8.0" 1024 x 768- Wide View Angle 350NIT LCD- Indoor/Outdoor Touch Screen- 1-USB- 1-Micro HDMI- 64GB SSD- Bluetooth Class 2 V4.0- 5MP CMOS Camera with Flash (Back)- 1.3MP Camera (Front)- 4GB RAM- 802.11a/b/g/n (AC)- External Battery Pack- Screen Protector- Hand Strap- Stylus (Does not include AC Wall Adapter). (Many more configurations available- please call us for all options). ,  $1771.05,  $1328.95,  https://www.barcodegiant.com/comark/part-comark8a2.htm
Touch Dynamic Parts Tablet Computer,  TOUCH DYNAMIC- QUEST V3 7" BLK TABLET- 8GB RAM- WIN 10 IOT ENT (64 BIT)- NC- NO NFC- BT- WIFI- MSR & EMV- TSYS DIRECT OVER DATACAP NETEPAY- HID MODE- BATTERY- POWER ADAPTER- CHARGE CRADLE- HAND STRAP- USB CABLE ,  $1513.00,  $1845.00,  https://www.barcodegiant.com/touch-dynamic/part-qb31-1mauh000.htm
Touch Dynamic Parts Tablet Computer,  TOUCH DYNAMIC- QUEST V3 7" BLK TABLET- 8GB RAM- WIN 10 IOT ENT (64 BIT)- NC- NO NFC- BT- WIFI- MSR & EMV- TSYS DIRECT OVER DATACAP NETEPAY- HID MODE- BATTERY- POWER ADAPTER- CHARGE CRADLE- HAND STRAP- USB CABLE ,  $1845.00,  $1513.00,  https://www.barcodegiant.com/touch-dynamic/part-qb21-1mauh000.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 8 GB RAM - 128 GB SSD - Windows 10 - 4G - Intel Core i5 8th Gen microSDXC Supported - 1920 x 1200 - View Anywhere Display - LTE - 2 Megapixel Front Camera ,  $4299.00,  $3249.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpv5w4w1s0x0x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 8 GB RAM - Intel Core i5 microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $3199.00,  $3599.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpa5x5w1s0x0n0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 8 GB RAM - 128 GB SSD - Windows 10 - Intel Core i5 8th Gen microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $4099.00,  $3149.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpv5x4w1s0x2x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 8 GB RAM - Intel Core i5 microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $3599.00,  $3199.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpa5x4w1s0x0x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 16 GB RAM - 128 GB SSD - Windows 10 - Intel Core i7 8th Gen microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $5199.00,  $4149.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpv7x4w1s0x0x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 16 GB RAM - Intel Core i5 microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $3949.00,  $3849.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpv6w4w1s0x0x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 16 GB RAM - Intel Core i5 microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $3849.00,  $3949.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpv6w4w1s0x0n0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 16 GB RAM - 128 GB SSD - Windows 10 - Intel Core i7 8th Gen microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $4149.00,  $5199.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpa7x4w1s0x3x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 8 GB RAM - 128 GB SSD - Windows 10 - 4G - Intel Core i5 8th Gen microSDXC Supported - 1920 x 1200 - View Anywhere Display - LTE - 2 Megapixel Front Camera ,  $3249.00,  $4299.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpa5w4w1s0x3x0.htm
Zebra Tablet,  Xplore XPAD L10 Tablet - 10.1" - 8 GB RAM - 128 GB SSD - Windows 10 - Intel Core i5 8th Gen microSDXC Supported - 1920 x 1200 - View Anywhere Display - 2 Megapixel Front Camera ,  $3149.00,  $4099.00,  https://www.barcodegiant.com/zebra/part-rpl10-lpa5x4w1s0x3x0.htm
DT Research DT340T Tablet,  14INCH TABLET I5 PROCESSOR- WIN 10 IOT E ,  $2515.00,  $2715.00,  https://www.barcodegiant.com/dt_research/part-340t-10b5-4b5.htm
DT Research DT340T Tablet,  14INCH TABLET I5 PROCESSOR- WIN 10 IOT E ,  $2715.00,  $2515.00,  https://www.barcodegiant.com/dt_research/part-340t-10b5-4a5.htm
DT Research DT340T Tablet,  14INCH TABLET I7 PROCESSOR- WIN 10 IOT ,  $2748.00,  $2848.00,  https://www.barcodegiant.com/dt_research/part-340t-10b7-4a5.htm
DT Research DT340T Tablet,  14INCH TABLET I7 PROCESSOR- WIN 10 IOT ,  $2848.00,  $2748.00,  https://www.barcodegiant.com/dt_research/part-340t-10b7-495.htm
DT Research DT340T Tablet,  14INCH TABLET I5 PROCESSOR- NVIDIA GTX10 ,  $3415.00,  $3615.00,  https://www.barcodegiant.com/dt_research/part-340t-10b5-4b5n.htm
DT Research DT340T Tablet,  14INCH TABLET I5 PROCESSOR- NVIDIA GTX10 ,  $3615.00,  $3415.00,  https://www.barcodegiant.com/dt_research/part-340t-10b5-4a5n.htm
DT Research DT340T Tablet,  14INCH TABLET I7 PROCESSOR- NVIDIA GTX10 ,  $3748.00,  $3948.00,  https://www.barcodegiant.com/dt_research/part-340t-10b7-4b5n.htm
DT Research DT340T Tablet,  14INCH TABLET I7 PROCESSOR- NVIDIA GTX10 ,  $3948.00,  $3748.00,  https://www.barcodegiant.com/dt_research/part-340t-10b7-4a5n.htm
DT Research DT340T Accessories,  THREE YEARS OF NO-FAULT ACCIDENTAL WARRA ,  $667.00,  $833.00,  https://www.barcodegiant.com/dt_research/part-uew-nfw3-340-n.htm
DT Research DT340T Accessories,  THREE YEARS OF NO-FAULT ACCIDENTAL WARRA ,  $833.00,  $667.00,  https://www.barcodegiant.com/dt_research/part-uew-nfw3-340.htm
DT Research 313MD Medical Tablet,  DT RESEARCH 13.3HB MED I5 W10 ,  $2682.00,  $2498.00,  https://www.barcodegiant.com/dt_research/part-313md-xw5-c495.htm
DT Research 313MD Medical Tablet,  DT RESEARCH 13.3HB MED I5 W10 ,  $2682.00,  $2582.00,  https://www.barcodegiant.com/dt_research/part-313md-xw5-c595.htm
DT Research DT313T-MD Medical Tablet,  DT RESEARCH 13.3 MED I5 W10 16 ,  $2415.00,  $2515.00,  https://www.barcodegiant.com/dt_research/part-313t-xw5-c5a5.htm
DT Research DT313T-MD Medical Tablet,  DT RESEARCH 13.3 MED I5 W10 16 ,  $2515.00,  $2415.00,  https://www.barcodegiant.com/dt_research/part-313t-xw5-c595.htm
DT Research Tablet,  DT RESEARCH TAB 10.1 W10 I7 8/ ,  $2415.00,  $2515.00,  https://www.barcodegiant.com/dt_research/part-301x-107-4a5.htm
DT Research Tablet,  DT RESEARCH TAB 10.1 W10 I7 8/ ,  $2515.00,  $2415.00,  https://www.barcodegiant.com/dt_research/part-301x-107-495.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3005.54,  $3479.34,  https://www.barcodegiant.com/panasonic/part-fz-g1p2146vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3303.91,  $3274.36,  https://www.barcodegiant.com/panasonic/part-fz-g1p2118vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3303.91,  $3349.18,  https://www.barcodegiant.com/panasonic/part-fz-g1p5434vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3274.36,  $3303.91,  https://www.barcodegiant.com/panasonic/part-fz-g1p2117vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3274.36,  $3349.18,  https://www.barcodegiant.com/panasonic/part-fz-g1p5434vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3349.18,  $3303.91,  https://www.barcodegiant.com/panasonic/part-fz-g1p2117vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3349.18,  $3274.36,  https://www.barcodegiant.com/panasonic/part-fz-g1p2118vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - vPro ,  $3479.34,  $3005.54,  https://www.barcodegiant.com/panasonic/part-fz-g1p2111vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - Dual Pass - Rotating Hand Strap - Tall Corner Guards ,  $3906.00,  $3972.32,  https://www.barcodegiant.com/panasonic/part-fz-g1p5435vm.htm
Panasonic ToughPad FZ-G1 Tablet,  Rugged Tablet - Panasonic Toughpad FZ-G1 - 10.1in Display - Windows 10 Pro - 1920x1200 - 8GB RAM/256GB SSD - Wi-Fi/Bluetooth - 2MP Front Cam - 8MP Rear Cam with Autofocus and LED Flash - Intel Core i5 6th Gen i5-6300U Dual-core (2 Core) 2.40 GHz - In-plane Switching (IPS) Technology Display - Dual Pass - Rotating Hand Strap - Tall Corner Guards ,  $3972.32,  $3906.00,  https://www.barcodegiant.com/panasonic/part-fz-g1p2182vm.htm
Zebra ET56 Tablet,  Rugged Tablet - Zebra ET56 - 8MP Camera - Windows 10 - 64 GB - Capacitive Multi-Touch - Wi-Fi/Bluetooth - WAN - 8.4" Display - 3300 mAh Battery ,  $1820.64,  $1837.45,  https://www.barcodegiant.com/zebra/part-et56be-w12e.htm
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
LG G PAD 5 10.1 Full HD tablet,  cdw.com doesn't have a description with their listings,  $196.99,  $167.99,  cdw.com/product/lg-g-pad-5-10.1-full-hd-tablet/5916328?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
Apple iPad mini Wi-Fi + Cellular - 6th generation - tablet - 256 GB - 8.3",  cdw.com doesn't have a description with their listings,  $849.99,  $825.99,  cdw.com/product/apple-ipad-mini-wi-fi-cellular-6th-generation-tablet-256-gb-8.3/6698866?pfm=srh
